SizeRank,RegionName,StateName,Year,Average House Price,Median Income,Ratio
45,South Dakota,SD,2013,161847.92,54453,2.97
16,Tennessee,TN,2013,138018.5,42499,3.25
1,Texas,TX,2013,145782.83,53027,2.75
33,Utah,UT,2013,227338.17,62967,3.61
48,Vermont,VT,2013,228138.58,54842,4.16
11,Virginia,VA,2013,241964.42,67620,3.58
12,Washington,WA,2013,246829.33,60106,4.11
36,West Virginia,WV,2013,93926.33,40241,2.33
19,Wisconsin,WI,2013,145022.25,55258,2.62
50,Wyoming,WY,2013,209674.25,55700,3.76
22,Alabama,AL,2014,122718.5,42278,2.90
46,Alaska,AK,2014,254359.25,67629,3.76
15,Arizona,AZ,2014,192510.67,49254,3.91
31,Arkansas,AR,2014,108914.42,44922,2.42
0,California,CA,2014,416937.33,60487,6.89
21,Colorado,CO,2014,269449.33,60940,4.42
28,Connecticut,CT,2014,247212.33,70161,3.52
44,Delaware,DE,2014,226379.83,57522,3.94
49,District of Columbia,DC,2014,528392.17,68277,7.74
3,Florida,FL,2014,177283.33,46140,3.84
8,Georgia,GA,2014,148376.75,49555,2.99
39,Hawaii,HI,2014,546862.92,71223,7.68
38,Idaho,ID,2014,180629.58,53438,3.38
4,Illinois,IL,2014,174398,54916,3.18
14,Indiana,IN,2014,121254.67,48060,2.52
29,Iowa,IA,2014,128559.25,57810,2.22
32,Kansas,KS,2014,125785,53444,2.35
25,Kentucky,KY,2014,116183.17,42786,2.72
24,Louisiana,LA,2014,154641.58,42406,3.65
40,Maine,ME,2014,191780.42,51710,3.71
18,Maryland,MD,2014,281132.58,76165,3.69
13,Massachusetts,MA,2014,345016.42,63151,5.46
7,Michigan,MI,2014,122477.75,52005,2.36
20,Minnesota,MN,2014,196782.75,67244,2.93
30,Mississippi,MS,2014,106407.42,35521,3.00
17,Missouri,MO,2014,130582.17,56630,2.31
43,Montana,MT,2014,225155.25,51102,4.41
37,Nebraska,NE,2014,137189.25,56870,2.41
